Bureau of Justice Statistics,,,,,,,,,,
Filename: capd0912stt02,,,,,,,,,,
"Table 2. Unadjusted violent victimization rates, by victim’s disability status and age, 2009–2012",,,,,,,,,,
"Report title: Crime Against Persons with Disabilities, 2009-2012-Statistical Tables",,,,,,,,,,
Data source: BJS National Crime Victimization Survey and U.S. Census Bureau American Community Survey,,,,,,,,,,
Authors: Erika Harrell ,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of release: 02/25/14,,,,,,,,,,
 ,,,,,,,,,,
"Table 2. Unadjusted violent victimization rates, by victim’s disability status and age, 2009–2012",,,,,,,,,,
Age of victim,,"Rate per 1,000 persons with disabilities",,,,,"Rate per 1,000 persons without disabilities",,,
,,2009,2010,2011,2012,,2009,2010,2011,2012
,Total,28.9,25.1,26.2,34.2,,23.3,20.2,20,22.7
12–15 years old,,106.6,69.9,76.8,122.5,,47.8,34.7,29.9,42.7
16–19,,77.1,101.3,122.9,101.8,,37.2,30.9,37.1,40.7
20–24,,103.8,73.8,105.1,100.6,,39.4,32.8,32.1,36.6
25–34,,49.9,39.5,53.7,82.6,,30.3,29.3,27.7,27.9
35–49,,55.8,48.8,41.5,61,,19.9,17.2,18,22.1
50–64,,25.5,24.1,20.3,27.9,,11.5,11.3,11.2,11.2
65 or older,,2.8,2.5,4.6,5.9,,4,3.8,3.2,4.6
Note: Based on the noninstitutionalized U.S. residential population age 12 or older. Estimates were based on 2-year rolling averages. See appendix table 2 for standard errors.,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Crime Victimization Survey, 2008–2012; and U.S. Census Bureau, American Community Survey, 2008–2012.",,,,,,,,,,
