,2009,2010,2011,2012,,2009,2010,2011,2012
Total,50.1,42.9,47.2,60.4,,22.4,19.5,19.4,22.3
Sex,,,,,,,,,
Male,39.2,33.7,41.5,59,,23.5,20.2,21.5,25.1
Female,60.8,52.5,52.8,61.8,,21.2,18.8,17.4,19.5
Race/a,,,,,,,,,
White,54.9,44.8,50.9,66.7,,24.1,20.3,20.6,23.8
Black/African American,38.6,37.1,36.3,46,,26.9,26.5,23.9,28.3
Other/b,34,21,26.6,32.6,,6.2,6.6,6.5,7.1
Two or more races,59.6,77.6,79.1,76.2,,22.2,18.4,24.2,22.9
Hispanic/Latino origin/c,,,,,,,,,
Hispanic/Latino,25.6,31.6,31.8,40.1,,17.8,15.2,15.4,19.3
Non-Hispanic/Non-Latino,54,44.6,50.1,64.6,,23.4,20.5,20.3,23.1
