
Type of crime,,2009,2010,2011,,2012,,,2009,,2010,2011,2012
,Total,52.9,38.3,37.3,,53.3,,,43,,48,59.6,70.2
Serious violent crime,,17.2,15.2,15.8,,19.1,,,13,,21.8,28.9,25
,Rape/sexual assault,2.2,1.5,1.9, !,1.8, !,,1.1, !,1.9,3.5,5.6
,Robbery,9.4,7.1,5.7,,8.3,,,3.4,,8.1,11.6,8.7
,Aggravated assault,5.6,6.5,8.2,,9.1,,,8.4,,11.8,13.7,10.7
Simple assault,,35.7,23.2,21.5,,34.1,,,30,,26.2,30.7,45.2
"Note: Based on noninstitutionalized U.S. residential population age 12 or older. Estimates were based on 2-year rolling averages. Persons age 15 or older with multiple disability types had two or more of the following disability types: hearing, vision, ambulatory, cognitive, self-care, and independent living. Persons ages 12 to 14 with multiple disability types had two or more of the following disability types: hearing, vision, ambulatory, cognitive, and self-care. See Methodology. Rates were adjusted using direct standardization with the 2000 U.S. Standard Population. See appendix table 7 for standard errors.",,,,,,,,,,,,,
"! Interpret with caution; based on 10 or fewer sample cases, or coefficient of variation is greater than 50%.",,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Crime Victimization Survey, 2008–2012; and U.S. Census Bureau, 2000 Standard Population and the American Community Survey, 2008–2012.",,,,,,,,,,,,,
